기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20241,11680590,삼성2동,CS100010,커피-음료,112,6,2,29
20241,11680600,대치1동,CS100010,커피-음료,14,2,0,14
20241,11680610,대치2동,CS100010,커피-음료,87,3,3,32
20241,11680630,대치4동,CS100010,커피-음료,110,8,7,47
20241,11680640,역삼1동,CS100010,커피-음료,402,15,18,143
20241,11680650,역삼2동,CS100010,커피-음료,107,10,7,44
20241,11680655,도곡1동,CS100010,커피-음료,48,4,2,14
20241,11680656,도곡2동,CS100010,커피-음료,45,1,2,18
20241,11680660,개포1동,CS100010,커피-음료,3,0,0,0
20241,11680670,개포2동,CS100010,커피-음료,13,4,4,11
20241,11680690,개포4동,CS100010,커피-음료,42,3,3,8
20241,11680700,세곡동,CS100010,커피-음료,37,5,4,21
20241,11680720,일원본동,CS100010,커피-음료,12,2,3,1
20241,11680730,일원1동,CS100010,커피-음료,23,2,2,5
20241,11680740,일원2동,CS100010,커피-음료,10,0,0,5
20241,11680750,수서동,CS100010,커피-음료,20,0,2,20
20241,11710510,풍납1동,CS100010,커피-음료,12,0,1,2
20241,11710520,풍납2동,CS100010,커피-음료,25,1,2,5
20241,11710531,거여1동,CS100010,커피-음료,15,0,0,2
20241,11710532,거여2동,CS100010,커피-음료,8,3,2,12
20241,11710540,마천1동,CS100010,커피-음료,8,0,0,3
20241,11710550,마천2동,CS100010,커피-음료,24,3,2,3
20241,11710561,방이1동,CS100010,커피-음료,56,4,5,14
20241,11710562,방이2동,CS100010,커피-음료,58,7,8,29
20241,11710566,오륜동,CS100010,커피-음료,7,0,0,12
20241,11710570,오금동,CS100010,커피-음료,75,3,5,15
20241,11710580,송파1동,CS100010,커피-음료,151,9,8,22
20241,11710590,송파2동,CS100010,커피-음료,35,6,3,9
20241,11710600,석촌동,CS100010,커피-음료,99,4,4,25
20241,11710610,삼전동,CS100010,커피-음료,50,5,5,21
20241,11710620,가락본동,CS100010,커피-음료,70,9,11,29
20241,11710631,가락1동,CS100010,커피-음료,21,2,1,10
20241,11710632,가락2동,CS100010,커피-음료,46,3,7,12
20241,11710641,문정1동,CS100010,커피-음료,40,2,8,9
20241,11710642,문정2동,CS100010,커피-음료,178,15,10,72
20241,11710646,장지동,CS100010,커피-음료,45,0,1,7
20241,11710647,위례동,CS100010,커피-음료,25,3,4,17
20241,11710650,잠실본동,CS100010,커피-음료,78,11,8,35
20241,11710670,잠실2동,CS100010,커피-음료,31,3,3,12
20241,11710680,잠실3동,CS100010,커피-음료,33,3,3,32
20241,11710690,잠실4동,CS100010,커피-음료,9,0,0,5
20241,11710710,잠실6동,CS100010,커피-음료,85,4,8,42
20241,11710720,잠실7동,CS100010,커피-음료,4,0,0,1
20241,11740515,강일동,CS100010,커피-음료,13,4,3,16
20241,11740520,상일동,CS100010,커피-음료,35,7,6,15
20241,11740530,명일1동,CS100010,커피-음료,55,4,0,16
20241,11740540,명일2동,CS100010,커피-음료,27,4,3,14
20241,11740550,고덕1동,CS100010,커피-음료,16,0,0,6
20241,11740560,고덕2동,CS100010,커피-음료,35,6,0,15
20241,11740570,암사1동,CS100010,커피-음료,51,2,3,6
20241,11740580,암사2동,CS100010,커피-음료,27,1,3,5
20241,11740590,암사3동,CS100010,커피-음료,13,0,1,4
20241,11740600,천호1동,CS100010,커피-음료,33,7,3,12
20241,11740610,천호2동,CS100010,커피-음료,75,5,3,34
20241,11740620,천호3동,CS100010,커피-음료,37,5,3,17
20241,11740640,성내1동,CS100010,커피-음료,66,5,3,17
20241,11740650,성내2동,CS100010,커피-음료,62,8,6,10
20241,11740660,성내3동,CS100010,커피-음료,78,1,2,11
20241,11740685,길동,CS100010,커피-음료,65,3,10,30
20241,11740700,둔촌2동,CS100010,커피-음료,47,3,5,7
20242,11110515,청운효자동,CS100010,커피-음료,123,4,6,1
