기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20243,11215770,중곡4동,CS100010,커피-음료,1311878045,285924,792924791,518953254,156688706,149531947,167448818,156616917,162638403,267227888,251725366,4536480,177482790,396693339,334246324,323131379,75787733,608342471,699683868,11943125,260904644,361152176,284117095,264724493,125184805,179646,106278,36009,33397,36648,35441,38151,54867,51411,133,50320,80598,68287,70716,15870,139595,146074,2919,59633,86585,64457,50108,21966
20243,11215780,능동,CS100010,커피-음료,903087057,110670,589501528,313585529,120736356,105734396,117475251,117077313,128478212,160002998,153582531,5137667,96119609,267913172,217282050,251785210,64849349,343949391,523983705,6156354,190861113,272163702,187117137,125549371,86085424,75096,35574,15631,13767,14848,14663,16187,18514,17060,592,16802,31110,26508,27578,8080,47271,60436,849,25992,36194,19912,15581,9179
20243,11215810,광장동,CS100010,커피-음료,2074160628,277233,1710160091,364000537,372176719,330451160,344974539,334239360,328318313,205183274,158817263,0,530882314,798689803,498537041,234338183,11713287,873973494,998959934,39572253,320143423,347660998,368531876,466005730,331019153,236902,40331,52084,46693,48318,46844,42963,22576,17755,0,84864,105706,60587,24994,1082,128793,135944,8805,56083,46849,47777,64205,41016
20243,11215820,자양1동,CS100010,커피-음료,344356884,48752,245740957,98615927,43001888,47955056,47525919,57994405,49263689,53501499,45114428,510420,42233143,135416223,84111142,71930517,10155439,162164865,158551940,1237962,56116947,81219276,67977293,75635263,38530069,34179,14573,6443,6819,6955,7176,6786,7857,6716,129,6956,16891,12604,10632,1540,24365,23095,200,9629,12392,10128,9709,5404
20243,11215830,자양2동,CS100010,커피-음료,607243134,113603,414852651,192390483,98891478,78033677,79991238,76062100,81874158,97317254,95073229,0,101823724,179148037,149663899,149443575,27163899,281659187,312960997,11024159,82702717,161146382,148276764,116386902,75083257,78096,35507,16283,14713,15639,15374,16087,17941,17566,0,22703,32315,27498,25776,5311,53741,58663,2417,17826,32212,25928,21045,12974
20243,11215840,자양3동,CS100010,커피-음료,3691004630,441939,2406006728,1284997902,477400673,457586674,486332018,466590272,518097091,720583673,564414229,86253,240839588,1127013198,1179089461,1032821435,111154695,1246940599,2148944339,46918817,740036919,910149064,665232935,605372944,428174255,286190,155749,57009,52787,58707,55426,62261,86416,69333,18,34073,123209,146126,125579,12934,157574,266132,7899,103424,116987,83017,69070,43311
20243,11215847,자양4동,CS100010,커피-음료,1040195922,137531,653105726,387090196,126106658,128171262,126029069,131513431,141285306,212954817,174135379,19128982,55172130,172719329,263970641,382898156,146306684,428667940,602437816,33519625,450671275,267030507,118885587,116027442,44971321,90545,46986,17730,17266,18247,17582,19720,25569,21417,1747,12689,25955,33731,47142,16267,54152,83049,5044,62881,36551,14609,13534,4583
20243,11215850,구의1동,CS100010,커피-음료,939836764,159781,681375469,258461295,122971953,130844188,140803108,138296546,148459674,139749875,118711420,4452858,150050476,285840318,207232553,241960511,50300048,428642472,449112660,9477358,201666285,253492525,169910479,160782194,82426289,115061,44720,23051,21897,22899,22771,24443,23946,20774,603,34112,47785,35205,35864,6212,78660,78103,1648,39504,47120,28877,26733,12874
20243,11215860,구의2동,CS100010,커피-음료,516765086,73360,329556385,187208701,62678710,59414077,70603451,68444629,68415518,99889628,87319073,693365,37743024,138302168,133677379,164918873,41430277,207672122,295316514,11284362,107293479,125646158,103307054,93342253,62115331,47736,25624,9559,9002,10383,9374,9418,13540,12084,95,7499,19183,18985,22551,5047,30630,41667,1702,15813,19509,15804,12815,6652
20243,11215870,구의3동,CS100010,커피-음료,2233236877,313917,1494445758,738791119,285935948,261504565,298211883,297168957,351624405,416843194,321947925,10306906,343598286,701041134,605409831,496212896,76667824,946635893,1148605361,43065701,433624631,504957979,429820385,433364393,250408167,212459,101458,40407,37298,42741,41620,50393,56580,44878,1049,57145,95031,82490,67720,10482,143905,158609,7775,68554,76023,61876,55952,32327
